=== Начало лога: 2026-01-20_15-16-17 ===
[15:16:17.418] [INFO] Логирование инициализировано
[15:16:17.419] [INFO] Программа управления ППБ запущена
[15:16:21.502] [INFO] Запрос на выполнение команды: 0
[15:16:21.502] [DEBUG] UDPClient: Отправлено 8 байт на 198.168.0.230:1080
[15:16:21.503] [DEBUG] UDPClient: Данные пакета [8 байт]: 01 00 00 00 00 00 00 00 
[15:16:21.503] [DEBUG] Отправлен пакет (unicast): Опрос состояния на 198.168.0.230:1080
[15:16:21.504] [DEBUG] Состояние изменено: 2
[15:16:24.498] [WARNING] Таймаут операции
[15:16:24.499] [DEBUG] Состояние изменено: 0
[15:16:24.500] [WARNING] Команда 0: Таймаут операции
[15:16:24.502] [WARNING] Команда 0: Таймаут операции
[15:16:24.503] [WARNING] Команда 0: Таймаут операции
[15:16:24.503] [WARNING] Команда 0: Таймаут операции
[15:16:24.503] [WARNING] Команда 0: Таймаут операции
[15:16:24.504] [WARNING] Команда 0: Таймаут операции
[15:16:24.505] [WARNING] Команда 0: Таймаут операции
[15:16:24.506] [WARNING] Команда 0: Таймаут операции
[15:16:24.506] [WARNING] Команда 0: Таймаут операции
[15:16:24.507] [WARNING] Команда 0: Таймаут операции
[15:16:24.507] [WARNING] Команда 0: Таймаут операции
[15:16:24.508] [WARNING] Команда 0: Таймаут операции
[15:16:24.508] [WARNING] Команда 0: Таймаут операции
[15:16:24.509] [WARNING] Команда 0: Таймаут операции
[15:16:24.509] [WARNING] Команда 0: Таймаут операции
[15:16:24.509] [WARNING] Команда 0: Таймаут операции
[15:16:24.510] [WARNING] Команда 0: Таймаут операции
[15:16:24.510] [WARNING] Команда 0: Таймаут операции
[15:16:24.511] [WARNING] Команда 0: Таймаут операции
[15:16:24.511] [WARNING] Команда 0: Таймаут операции
[15:16:24.512] [WARNING] Команда 0: Таймаут операции
[15:16:24.512] [WARNING] Команда 0: Таймаут операции
[15:16:24.512] [WARNING] Команда 0: Таймаут операции
[15:16:24.513] [WARNING] Команда 0: Таймаут операции
[15:16:24.514] [WARNING] Команда 0: Таймаут операции
[15:16:24.514] [WARNING] Команда 0: Таймаут операции
[15:16:24.514] [WARNING] Команда 0: Таймаут операции
[15:16:24.515] [WARNING] Команда 0: Таймаут операции
[15:16:24.515] [WARNING] Команда 0: Таймаут операции
[15:16:24.516] [WARNING] Команда 0: Таймаут операции
[15:16:24.516] [WARNING] Команда 0: Таймаут операции
[15:16:24.517] [WARNING] Команда 0: Таймаут операции
[15:16:24.517] [WARNING] Команда 0: Таймаут операции
[15:16:24.517] [WARNING] Команда 0: Таймаут операции
[15:16:24.518] [WARNING] Команда 0: Таймаут операции
[15:16:24.518] [WARNING] Команда 0: Таймаут операции
[15:16:24.519] [WARNING] Команда 0: Таймаут операции
[15:16:24.519] [WARNING] Команда 0: Таймаут операции
[15:16:24.520] [WARNING] Команда 0: Таймаут операции
[15:16:24.520] [WARNING] Команда 0: Таймаут операции
[15:16:24.521] [WARNING] Команда 0: Таймаут операции
[15:16:24.521] [WARNING] Команда 0: Таймаут операции
[15:16:24.522] [WARNING] Команда 0: Таймаут операции
[15:16:24.522] [WARNING] Команда 0: Таймаут операции
[15:16:24.522] [WARNING] Команда 0: Таймаут операции
[15:16:24.523] [WARNING] Команда 0: Таймаут операции
[15:16:24.523] [WARNING] Команда 0: Таймаут операции
[15:16:24.524] [WARNING] Команда 0: Таймаут операции
[15:16:24.524] [WARNING] Команда 0: Таймаут операции
[15:16:24.524] [WARNING] Команда 0: Таймаут операции
[15:16:24.525] [WARNING] Команда 0: Таймаут операции
[15:16:24.525] [WARNING] Команда 0: Таймаут операции
[15:16:24.526] [WARNING] Команда 0: Таймаут операции
[15:16:24.526] [WARNING] Команда 0: Таймаут операции
[15:16:24.526] [WARNING] Команда 0: Таймаут операции
